Subject,Start Date,End Date,All day event,Description,Location
"Summer Greetings by Hay opens",6/1/2023,6/1/2023,true,"Admission Adults ¥1400; University Students ¥800; High School Students ¥500; Persons with Disability Certificates + 1 Companion\, Junior High School Students and Under free. yen","Midtown Garden\, Tokyo Midtown\, 9-7-6 Akasaka\, Minato-ku\, Tokyo 107-0052"
"Dara Birnbaum opens",6/1/2023,6/1/2023,true,"Admission 0 yen","5-2-6 Aoyama\, Minato-ku\, Tokyo 107-0062"
"Nobuo Yamanaka Exhibition opens",5/27/2023,5/27/2023,true,"Admission 0 yen","3F\, 5F Terrada Art Complex\, 1-33-10 Higashi Shinagawa\, Shinagawa-ku\, Tokyo 140-0002"
"Ainu Literature - Yaeko Batchelor\, Hokuto Iboshi\, and Takeichi Moritake opens",6/24/2023,6/24/2023,true,"Admission Adults ¥1200; High School Students ¥600; Junior High School Students and Under\, Persons with Disability Certificates + 1 Companion free. yen","1-2-3 Wakakusacho\, Shiraoigun Shiraoicho\, Hokkaido 059-0902"
"Kirinji 2023 opens",6/9/2023,6/9/2023,true,"Admission 0 yen","2F Terrada Art Complex II\, 1-32-8 Higashi-Shinagawa\, Shinagawa-ku\, Tokyo 140-0002"
"Saori Hasegawa 'Botanical Garden' opens",6/16/2023,6/16/2023,true,"Admission 0 yen","1F Yamada Bldg.\, 1-14-11 Higashi-kanda\, Chiyoda-ku\, Tokyo 101-0031"
"Kota Taniuchi Exhibition opens",6/24/2023,6/24/2023,true,"Admission Adults ¥1000; Seniors 65 & Over\, University Students ¥800; High School Students and Under\, Persons with Disability Certificates + 1 Companion free. yen","4-7-2 Shimo Shakujii\, Nerima-ku\, Tokyo 177-0042"
"Chihiro Iwasaki Exhibition opens",6/24/2023,6/24/2023,true,"Admission Adults ¥1000; Seniors 65 & Over\, University Students ¥800; High School Students and Under\, Persons with Disability Certificates + 1 Companion free. yen","4-7-2 Shimo Shakujii\, Nerima-ku\, Tokyo 177-0042"
"Chizuko Kojima Exhibition opens",6/8/2023,6/8/2023,true,"Admission Adults ¥1000; University Students ¥800; High School Students ¥500; Junior High School Students and Under\, Persons with Disability Certificates free. yen","21-6 Oobaneenmatsugae-cho\, Komono-cho\, Mie-gun\, Mie 510-1245"
"Neo Painting Tokyo 3 opens",6/8/2023,6/8/2023,true,"Admission 0 yen","2F Noir Bldg.\, 5-12-3 Minami-aoyama\, Minato-ku\, Tokyo 107-0062"
"Ying Chi Hsueh Exhibition opens",6/6/2023,6/6/2023,true,"Admission null yen","302 Tatsunaka Bldg.\, 3-13-17 Ginza Chuo-ku\, Tokyo 104-0036"
"Collection Exhibition - Nihonga opens",6/6/2023,6/6/2023,true,"Admission null yen","5-2-1 Tenjin\, Chuo-ku\, Fukuoka-shi\, Fukuoka 810-0001"
"Hiroshige or Hokusai - View of Mt. Fuji Depicted by Two opens",6/6/2023,6/6/2023,true,"Admission Adults ¥520; University and High School Students ¥310; Junior High and Elementary School Students ¥130; Infants\, Persons with Disability Certificates + 1 Companion free. yen","297-1 Yui\, Shimizu-ku\, Shizuoka-shi\, Shizuoka 421-3103"
"Beloved Beautiful Women  opens",6/6/2023,6/6/2023,true,"Admission Adults ¥700; University and High School Students ¥400; Junior High School Students and Under\, Persons with Disability Certificates free; 1 Companion Half Price. Special Exhibition Fees may be charged separately. yen","301 Irigaike\, Nagakute-shi\, Aichi 480-1116"
"Kenkichi Goto + Asako Goto 'Monochrome Light' opens",6/6/2023,6/6/2023,true,"Admission Adults ¥300; University Students ¥150; High School Students and Under\, Seniors 65 & Over\, Persons with Disability Certificates free. yen","602 Yasuhara Kami\, Shionoe-Cho\, Takamatsu-shi\, Kagawa 761-1611"
"Taisyo Romantic Design opens",6/6/2023,6/6/2023,true,"Admission Adults ¥800\, University and High School Students ¥400\, Elementary School Students ¥300 yen","2-1-32 Hama\, Naka-ku\, Okayama-shi\, Okayama 703-8256"
"Cross Sections of Japan 1938-1944 opens",6/6/2023,6/6/2023,true,"Admission 0 yen","JCII Bldg.\, 25 Ichiban-cho\, Chiyoda-ku\, Tokyo 102-0082"
"Mingei Artists opens",6/3/2023,6/3/2023,true,"Admission null yen","The Hirosawa City\, 599-1 Otsuka\, Chikusei-shi\, Ibaraki 308-0813"
"15 opens",5/20/2023,5/20/2023,true,"Admission 0 yen","2-14-8 Higashi Azabu\, Minato-ku\, Tokyo 106-0044 "
"Hanga+ Akira Baba Copperplate Engraving opens",6/3/2023,6/3/2023,true,"Admission Adults and University Students ¥500; High School\, Junior High and Elementary School Students ¥200; Persons with Disability Certificates + 1 Companion free. yen","1830-1 Nabeyama\, Kamiyamamachi\, Nirasaki-shi\, Yamanashi 407-0043"
"The Power of Hometown opens",6/3/2023,6/3/2023,true,"Admission undefined yen","859-1 Nobara-cho\, Hamada-shi\, Shimane 697-0016"
"Miyazaki Artist File - Double Up opens",6/3/2023,6/3/2023,true,"Admission Adults ¥210; High School Students and Under\, Seniors 70 & Over\, Persons with Disability Certificates ¥100; Infants free. Special Exhibition Fees may be charged separately. yen","6916-1 Minamitakanabe\, Takanabe-cho\, Koyu-gun\, Miyazaki 884-0003"
"Mizuho Namba Exhibition opens",6/3/2023,6/3/2023,true,"Admission 0 yen","201 Pond Mum KⅣ\, 2-9-30 Otemon\, Chuo-ku\, Fukuoka-shi\, Fukuoka 810-0074"
"Kuniyoshi  × Yoshiiku × Yoshitoshi opens",6/3/2023,6/3/2023,true,"Admission Adults ¥500\, High School Students and Under free. yen","3F\, 12-1 Ekimaehoncho\, Kawasaki-ku\, Kawasaki-shi\, Kanagawa 210-0007"
"Katsura Muramatsu 'Viridarium' opens",6/3/2023,6/3/2023,true,"Admission 0 yen","827-3 Nazukari\, Nagareyama-shi\, Chiba 270-0145"
"Exhibition of My Father's Dragon opens",7/15/2023,7/15/2023,true,"Admission Adults ¥1800\, University Students ¥1200\, High School Students ￥1000\, Junior High and Elementary School Students ￥600 yen","2F W3 GREEN SPRINGS\, 3-1 Midori-cho\, Tachikawa-shi\, Tokyo 190-0014"
"Mika Yamakoshi + Daniel Stubenvoll 'Pieces' opens",5/27/2023,5/27/2023,true,"Admission 0 yen","3F\, 6-3-7 Minami Aoyama\, Minato-ku\, Tokyo 107-0062"
"Elena Knox 'Azarashi Banashi' opens",6/3/2023,6/3/2023,true,"Admission 0 yen","4F Terrada Art Complex\, 1-33-10 Higashi Shinagawa\, Shinagawa-ku\, Tokyo 140-0002"
"Ichiro Irie 'Googleheim Collection' opens",6/3/2023,6/3/2023,true,"Admission 0 yen","32-2 Yaraicho\, Shinjuku-ku\, Tokyo 162-0805"
"There is Another Capital Beneath the Waves opens",6/3/2023,6/3/2023,true,"Admission 0 yen","7-7 Nakazono-cho\, Yamaguchi-shi\, Yamaguchi 753-0075"
"Akio Ohmori 'The Sculptor Who Carves Out the Spirit' opens",6/3/2023,6/3/2023,true,"Admission null yen","6F Sogo Yokohama\, 2-18-1 Takashima\, Nishi-ku\, Yokohama-shi\, Kanagawa 220-8510"
"Guillaumit 'Livelyyy' opens",6/2/2023,6/2/2023,true,"Admission 0 yen","1 Kaigandori\, Naka-ku\, Yokohama-shi\, Kanagawa 231-0002"
"Taniguchi Hiroki Poster Exhibition opens",6/1/2023,6/1/2023,true,"Admission 0 yen","3F 3A/3B\, 2-8-19 Kachidoki\, Chuo-ku\, Tokyo 104-0054"
"Toshiatsu Nanbu Exhibition opens",5/17/2023,5/17/2023,true,"Admission Adults ¥300; High School Students ¥200; Junior High and Elementary School Students ¥100; Persons with Disability Certificates + 1 Companion\, Seniors 65 & Over residing in Morioka city free. yen","1-50 Uchimaru\, Morioka-shi\, Iwate 020-0023"
"Mitaka City Gallery of Artー Collection Exhibition IV opens",6/3/2023,6/3/2023,true,"Admission null yen","5F Koral\, 3-35-1 Shimorenjaku\, Mitaka-shi\, Tokyo 181-0013"
"Natsuko Zanma 'Infinity' opens",6/3/2023,6/3/2023,true,"Admission 0 yen","1F\, 4-4-10 Nakameguro\, Meguro-ku\, Tokyo 153-0061"
"Memories of Hiroshima opens",6/17/2023,6/17/2023,true,"Admission Adults ¥300; University and High School Students ¥150; Junior High School Students and Under\, Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","5F XSELL Honten\, 2-3-1 Shoko Center\, Nishi-ku\, Hiroshima-shi\, Hiroshima 733-0833"
"Kaoru Kasai 'Nostalgia' opens",5/31/2023,5/31/2023,true,"Admission 0 yen","3F Cocon Karasuma\, 620 Suiginya-cho\, Shimogyo-ku\, Kyoto-shi\, Kyoto 600-8411"
"Yushi Suga 'Liminal' opens",5/26/2023,5/26/2023,true,"Admission 0 yen","1F\, 2-4-7 Jingumae\, Shibuya-ku\, Tokyo 150-0001"
"Pictorial book of Japanese Folk Art and Design— Design Ideas from the Tools of Daily Life opens",5/27/2023,5/27/2023,true,"Admission Adults ¥300\, High School Students ¥200\, Junior High and Elementary School Students ¥100. Special Exhibition Fees may be charged separately. yen","1-8 Kaisei\, Ishinomaki-shi\, Miyagi 986-0032"
"Chofu Domain's Official Painter - 110 Years Since the Birth of Yuki Katsura opens",5/30/2023,5/30/2023,true,"Admission Adults ¥210; University Students ¥100; Under Age 19\, Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","1-1 Chofu Kuromon Higashimachi\, Shimonoseki-shi\, Yamaguchi 752-0986"
"Women Poster Designers of the World - Sky High to a Beautiful World opens",5/27/2023,5/27/2023,true,"Admission 0 yen","5-51 Murohonmachi\, Ogaki-shi\, Gifu 503-0911"
"Ruby Neri 'Weights and Measures' opens",5/27/2023,5/27/2023,true,"Admission 0 yen","5F Terrada Art Complex\, 1-33-10 Higashishinagawa\, Shinagawa-ku\, Tokyo 140-0002"
"Atsushi Aizawa 'Origin' opens",5/27/2023,5/27/2023,true,"Admission 0 yen","6-11-1 Roppongi\, Minato-ku\, Tokyo 106-0032"
"Masaru Tatsuki 'Suki-no a-i-u-e-o (Words by Shuntaro Tanigawa)' opens",6/23/2023,6/23/2023,true,"Admission 0 yen","1F\, 2F Barbizon61\, 1-8-12 Nishiazabu\, Minato-ku\, Tokyo 106-0031"
"In between: Shiseido Magazine Advertisements from the 1970s opens",6/6/2023,6/6/2023,true,"Admission 0 yen","B1F Tokyo Ginza Shiseido Bldg.\, 8-8-3 Ginza\, Chuo-ku\, Tokyo 104-0061"
"Osamu Mori 'Twister' opens",5/27/2023,5/27/2023,true,"Admission 0 yen","1F DDD hotel\, 2-2-1 Nihombashi\, Bakurocho\, Chuo-ku\, Tokyo 103-0002"
"The Museum of Art\, Ehime 25th Anniversary - Kaiyodo  opens",7/22/2023,7/22/2023,true,"Admission Adults ¥330\, University and High School Students ¥220. Special Exhibition Fees may be charged separately. yen","Horinouchi\, Matsuyama-shi\, Ehime 790-0007"
"Komaneko Making Exhibition opens",6/1/2023,6/1/2023,true,"Admission null yen","8F Shibuya Parco\, 15-1 Udagawacho\, Shibuya-ku\, Tokyo 150-0042"
"Imperial Household Art and Okayama: Selections from the Museum of the Imperial Collections\, Sannomaru Shozokan opens",7/15/2023,7/15/2023,true,"Admission Adults ¥350; University Students ¥250; High School\, Junior High and Elementary School Students free; Seniors 65 & Over ¥170. Special Exhibition Fees may be charged separately.  yen","8-48 Tenjin-cho\, Kita-ku\, Okayama-shi\, Okayama 700-0814"
"Chihiro Art Museum Collection— Picture Books from Tropical Countries opens",6/3/2023,6/3/2023,true,"Admission Adults ¥900; University Students\, Seniors 65 & Over ¥700; High School Students and Under\, Persons with Disability Certificates + 1 Companion free. yen","3358-24 Nishihara\, Matsukawamura\, Kitaazumino-gun\, Nagano 399-8501"
"Chihiro Art Museum Selection 2010→2021— Japanese Picture Book Exhibition opens",6/3/2023,6/3/2023,true,"Admission Adults ¥900; University Students\, Seniors 65 & Over ¥700; High School Students and Under\, Persons with Disability Certificates + 1 Companion free. yen","3358-24 Nishihara\, Matsukawamura\, Kitaazumino-gun\, Nagano 399-8501"
"Picture Books from 1950s-1970s— Chihiro Iwasaki opens",6/3/2023,6/3/2023,true,"Admission Adults ¥900; University Students\, Seniors 65 & Over ¥700; High School Students and Under\, Persons with Disability Certificates + 1 Companion free. yen","3358-24 Nishihara\, Matsukawamura\, Kitaazumino-gun\, Nagano 399-8501"
"British Landscape and Doppo Kunikida opens",6/18/2023,6/18/2023,true,"Admission Adults ¥200; University Students\, Seniors 65 & Over in Chigasaki city ¥100; High School Students and Under\, Persons with Disability Certificates + Companion free. Special Exhibition Fees may be charged separately.  yen","1-4-45 Higashikaigan-kita\, Chigasaki-shi\, Kanagawa 253-0053"
"Bharat Sikka 'The Sapper' opens",5/27/2023,5/27/2023,true,"Admission 0 yen","1F\, 2-10-3 Ebisu Minami\, Shibuya-ku\, Tokyo 150-0022"
"Mie Takahashi 'A Day' opens",6/3/2023,6/3/2023,true,"Admission 0 yen","202 Kamakura Tailor Bldg.\, 3-1-28 Yuigahama\, Kamakura-shi\, Kanagawa 248-0014"
"Reading Three Stars opens",6/18/2023,6/18/2023,true,"Admission 0 yen","102\, 6-2-19 Shirokane\, Minato-ku\, Tokyo 108-0072"
"Yuna Ogino 'Silent Tales' opens",5/31/2023,5/31/2023,true,"Admission 0 yen","2F Kagura Bldg.\, 3-13 Ichigayatamachi\, Shinjuku-ku\, Tokyo 162-0843"
"Junichi Koyatsu 'Afterimage— A Walk in the Trees' opens",6/2/2023,6/2/2023,true,"Admission 0 yen","5-18-20 Chuo\, Nakano-ku\, Tokyo 164-0011"
"Kanji Hasegawa 'Decay\, Remains' opens",5/27/2023,5/27/2023,true,"Admission 0 yen","1F 4-7-6 Shirakawa\, Koto-ku\, Tokyo 135-0021"
"Gravitation opens",5/26/2023,5/26/2023,true,"Admission 0 yen","2-22-2-1 Kitazawa\, Setagaya-ku\, Tokyo 155-0031"
"Canon Photo Circle Monthly Photo Contest 2022 opens",6/1/2023,6/1/2023,true,"Admission 0 yen","2F Canon S Tower\, 2-16-6 Konan\, Minato-ku\, Tokyo 108-8011"
"Koji Matsushita 'Water Star' opens",6/1/2023,6/1/2023,true,"Admission 0 yen","2F Canon S Tower\, 2-16-6 Konan\, Minato-ku\, Tokyo 108-8011"
"Forest of Kehai opens",5/18/2023,5/18/2023,true,"Admission null yen","4-21-26 Minami Aoyama\, Minato-ku\, Tokyo 107-0062"
"Frame and Wave opens",6/27/2023,6/27/2023,true,"Admission Adults ¥300\, University and High School Students ¥200\, Junior High School Students and Under free. Special Exhibition Fees may be charged separately. yen","8-5-1 Kozakahonmachi\, Toyota-shi\, Aichi 471-0034"
"Tomoko Konoike Exhibition opens",5/23/2023,5/23/2023,true,"Admission 0 yen","2F 6-2-6 Roppongi\, Minato-ku\, Tokyo 106-0032"
"Stefan Brüggemann + Oriol Vilanova 'Economy and Love' opens",5/20/2023,5/20/2023,true,"Admission 0 yen","2F Piramide Bldg.\, 6-6-9 Roppongi\, Minato-ku\, Tokyo 106-0032"
"Sutemi Kubo 'Our Path' opens",5/20/2023,5/20/2023,true,"Admission Adults ¥900; High School and Junior High School Students\, Under 18s ¥600; Elementary School Students ¥400; Seniors 60 & Over ¥800 yen","1401 Shimokarako\, Higashimatsuyama-shi\, Saitama 355-0076"
"Ama & 13 Artworks opens",4/8/2023,4/8/2023,true,"Admission Adults ¥800\, University Students and Under ¥400 yen","1731-68 Ogitsu\, Uramura-cho\, Toba-shi\, Mie 517-0025"
"Princess Knight - Tale of Three Sapphires opens",3/4/2023,3/4/2023,true,"Admission Adults ¥700\, High School and Junior High School Students ¥300\, Elementary School Students ¥100\, Persons with Disability Certificates free. yen","7-65 Mukogawa-cho\, Takarazuka-shi\, Hyogo 665-0844"
"Ken Kuroi Picture Book Exhibition opens",5/20/2023,5/20/2023,true,"Admission Adults ¥700\, Junior High and Elementary School Students ¥300 yen","3545-6079 Kiyosato\, Takane-cho\, Hokuto-shi\, Yamanashi 407-0301"
"Dyeing and Textile Designs and the Akane-kai  opens",5/16/2023,5/16/2023,true,"Admission Adults and University Students ¥500\, High School Students and Under free. yen","3F Marubeni Bldg.\, 1-4-2 Otemachi\, Chiyoda-ku\, Tokyo 100-0004"
"Frontispieces and Illustrations from Books of Popular Entertainments opens",4/1/2023,4/1/2023,true,"Admission undefined yen","4-1 Hayabusa-cho\, Chiyoda-ku\, Tokyo 102-8656"
"Sculpture of Africanart opens",4/1/2023,4/1/2023,true,"Admission Adults ¥800\, Students ¥700\, Elementary School Students and Under free. yen","1712-7 Nakamaru\, Nagasaka-cho\, Hokuto-shi\, Yamanashi 408-0036"
"Collection Unlimited by 4 Female Artists opens",5/27/2023,5/27/2023,true,"Admission 0 yen","3F Roppongi Daiya Bldg.\, 1-26-4 Minamiaoyama\, Minato-ku\, Tokyo 107-0062"
"Makito Takagi 'Sato Andagi' opens",5/27/2023,5/27/2023,true,"Admission 0 yen","5-1 Fukuromachi\, Shinjuku-ku\, Tokyo 162-0828"
"Hiroshige Utagawa 'Fifty-three Stations of the Tokaido' opens",4/21/2023,4/21/2023,true,"Admission Adults ¥500\, Junior High School Students and Under free. yen","10-2 Shinko-cho\, Chuo-ku\, Niigata-shi\, Niigata 950-0965"
"Tomoya Matsuzaki + Anne Hardy 'Tides' opens",5/27/2023,5/27/2023,true,"Admission 0 yen","2F Piramide Bldg.\, 6-6-9 Roppongi\, Minato-ku\, Tokyo 106-0032"
"A-Lab Artist Gate'23 opens",5/27/2023,5/27/2023,true,"Admission 0 yen","2-33-1 Nishinagasucho\, Amagasaki-shi\, Hyogo 660-0805"
"Miyako Ishiuchi 'Naked Rose' opens",5/26/2023,5/26/2023,true,"Admission 0 yen","1-4-11 Kanda Sarugaku-cho\, Chiyoda-ku\, Tokyo 101-0064"
"The Collection of Joshibi University of Art and Design “Collection / Expression' opens",5/24/2023,5/24/2023,true,"Admission null yen","1900 Asamizodai\, Sagamihara\, Kanagawa 228-8538"
"The Work of Hirakushi Denchu Through Manga opens",5/18/2023,5/18/2023,true,"Admission Adults ¥300\, Junior High and Elementary School Students ¥150. Special Exhibition Fees may be charged separately. yen","1-7-5 Gakuennishi-cho\, Kodaira-shi\, Tokyo 187-0045"
"Children and the Absurd - Children and War opens",5/15/2023,5/15/2023,true,"Admission 0 yen","4-2-24 Hiroo\, Shibuya-ku\, Tokyo 150-893"
"Shingu Susumu + Renzo Piano 'Parallel Lives' opens",7/13/2023,7/13/2023,true,"Admission undefined yen","4-3-1 Nakanoshima\, Kita-ku\, Osaka-shi\, Osaka 530-0005"
"Hiroshi Naito 'Built and Unbuilt' opens",9/16/2023,9/16/2023,true,"Admission [Collection] Adults ¥300\, University Students ¥200\, High School Students and Under free. [Special Exhibition] Adults ¥1000\, University Students ¥600\, High School Students and Under ¥300 yen","5-15 Ariake-cho\, Masuda-shi\, Shimane 698-0022"
"Masako Ando Exhibition opens",7/8/2023,7/8/2023,true,"Admission Adults ¥320; University and High School Students ¥210; Junior High School Students and Under\, Seniors 65 & Over residing in Ichinomiya City\, Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","3147-1 Gouminami\, Kokabunakashima\, Ichinomiya-shi\, Aichi 494-0007"
"The 120th Anniversary Special Exhibition: Friendship and Trust in Shohei Paintings opens",6/20/2023,6/20/2023,true,"Admission Adults ¥550\, University Students ¥300\, High School Students ¥200\, Junior High School Students and Under free. Special Exhibition Fees may be charged separately. yen"," 2-1-2 Matsubara\, Aomori-shi\, Aomori 030-0813 "
"Itaru Hirama 'Photo Songs' opens",7/8/2023,7/8/2023,true,"Admission null yen","9F Shibuya Hikarie\, 2-21-1 Shibuya\, Shibuya-ku\, Tokyo 150-0002"
"Beloved Retro Toys opens",7/1/2023,7/1/2023,true,"Admission Adults ¥1000\, University and High School Students ¥900\, Junior High and Elementary School Students ¥500. yen","2-4-3 Yayoi\, Bunkyo-ku\, Tokyo 113-0032"
"Sacred Statues - Sculptures Selected by Soetsu Yanagi opens",6/29/2023,6/29/2023,true,"Admission Adults ¥1200\, University and High School Students ¥700\, Junior High School and Elementary School Students ¥200. yen","4-3-33 Komaba\, Meguro-ku\, Tokyo 153-0041"
"Feature Exhibition - Tea Bowls for Chanoyu opens",6/20/2023,6/20/2023,true,"Admission null yen","527 Chayamachi\, Higashiyama-ku\, Kyoto-shi\, Kyoto 605-0931"
"Samurai Style - Inro\, Decorative Sword Fittings\, and Genre Paintings opens",6/17/2023,6/17/2023,true,"Admission Adults ¥1500; University and  High School Students ¥1000\, Persons with Disability Certificates ¥700; Junior High School Students and Under free. yen","1F Meiji Seimei Kan\, 2-1-1 Marunouchi\, Chiyoda-ku\, Tokyo 100-0005"
"Keiichi Tahara 'Existence' opens",6/17/2023,6/17/2023,true,"Admission 0 yen","6 Minami-cho\, Shinjuku-ku\, Tokyo 162-0836"
"Motohashi Seiichi & Robert Doisneau —Chemins croisés（Narrative Passages） opens",6/16/2023,6/16/2023,true,"Admission null yen","Yebisu Garden Place\, 1-13-3 Mita\, Meguro-ku\, 153-0062 Tokyo"
"Group Show of Contemporary Artists 2023 'Traces of Images: Between Memory and Reality' opens",6/10/2023,6/10/2023,true,"Admission null yen","8-36 Ueno Park\, Taito-ku\, Tokyo 110-8712"
"Group Show of Contemporary Artists 2023 - Intersection of Paintings opens",6/10/2023,6/10/2023,true,"Admission null yen","8-36 Ueno Park\, Taito-ku\, Tokyo 110-8712"
"140th Anniversary Fumio Asakura - New Perspective Connecting Past and Today with Cats opens",6/9/2023,6/9/2023,true,"Admission Adults ¥300; University and High School Students ¥200; Junior High School Students and Under\, Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","2-1 Kotobuki-Machi\, Oita-shi\, Oita 870-0036"
"Tomii Motohiro: Time to See opens",6/6/2023,6/6/2023,true,"Admission Adults ¥200; University and High School Students ¥150; Junior High and Elementary School Students ¥100; Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","5191-9 Nishiohata-cho\, Chuo-ku\, Niigata-shi\, Niigata 951-8556"
"Minamo - Depictions of Water opens",5/30/2023,5/30/2023,true,"Admission Adults ¥300; University and High School Students ¥200; Junior High and Elementary School Students ¥ 150; Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","4-36 Shiroyama-cho\, Kagoshima-shi\, Kagoshima 892-0853"
"NO-MA Graphic 2004 - 2023 opens",5/20/2023,5/20/2023,true,"Admission undefined yen","16 Nagahara-cho Kami\, Ohmi Hachiman-shi\, Shiga 523-0849"
"Shuichi Shigeno 40th Anniversary Art Exhibition opens",5/20/2023,5/20/2023,true,"Admission Adults ¥200\, High School and Junior High School Students ¥100\, Elementary School Students ¥50. Special Exhibition Fees may be charged separately. yen","1F\, 2-5-7 Yachiyo\, Chuo-ku\, Niigata-shi\, Niigata 950-0909"
"Chinese Ceramics - Revival of the Yamamoto Collection opens",4/29/2023,4/29/2023,true,"Admission Adults ¥320; University Students ¥210; High School Students and Under\, Persons with Disability Certificates + 1 Companion free. yen","1-9-27 Higashimachi\, Tajimi-shi\, Gifu 507-0801"
"Nizo Yamamoto 'Master of Animation Art' opens",7/8/2023,7/8/2023,true,"Admission undefined yen","100-1 Matsushiro-cho\, Naka-ku\, Hamamatsu-shi\, Shizuoka 430-0947"
"Mari Katayama 'Cavern' opens",6/6/2023,6/6/2023,true,"Admission 0 yen","1F-B1F Sanoushokai Nishiazabu Bldg.\, 3-24-19 Nishiazabu\, Minato-ku\, Tokyo 106-0031"
"The Connoisseur’s Eye: Art Appraisal in the Edo Period opens",6/3/2023,6/3/2023,true,"Admission [Museum\, Hōsa Library] Adults ¥1400\, University and High School Students ¥700 [Museum\, Hōsa Library\, Garden] Adults ¥1550\, University and High School Students ¥850. Junior High and Elementary School Students ¥500 yen","1017 Tokugawa-cho Higashi-ku\, Nagoya-shi\, Aichi 461-0023"
"Aiko Miyanaga Exhibition opens",6/3/2023,6/3/2023,true,"Admission Adults ¥1000; University\, High School and Junior High School Students\, Persons with Disability Certificates ¥700; Elementary School Students and Under free. yen","570-107 Gionmachi Minamigawa\, Higashiyama-ku\, Kyoto-shi\, Kyoto 605-0074"
"The Aesthetics of Edo Attire opens",6/3/2023,6/3/2023,true,"Admission [Museum\, Hōsa Library] Adults ¥1400\, University and High School Students ¥700 [Museum\, Hōsa Library\, Garden] Adults ¥1550\, University and High School Students ¥850. Junior High and Elementary School Students ¥500 yen","1017 Tokugawa-cho Higashi-ku\, Nagoya-shi\, Aichi 461-0023"
"Hiroki Tsukiyama 'Echoes of Valuable Moments' opens",6/2/2023,6/2/2023,true,"Admission 0 yen","2-1-44 Omote-cho\, Kita-ku\, Okayama-shi\, Okayama 700-0822"
"Natsumi Sasaki 'Out of the Soil' opens",6/2/2023,6/2/2023,true,"Admission 0 yen","Nihombashi Torohei Bldg.\, 1-7-12 Nihombashi-honcho\, Chuo-ku\, Tokyo 103-0023"
"Koichiro Azuma 'Hanma' opens",6/9/2023,6/9/2023,true,"Admission 0 yen","Hillside Terrace A\, 29-18 Sarugakucho\, Shibuya-ku\, Tokyo 150-0033"
"Motohiro Tomii 'Sculptures' opens",7/8/2023,7/8/2023,true,"Admission Adults ¥260\, University and High School Students ¥120\, Junior High School Students and Under free. Special Exhibition Fees may be charged separately. yen","4-2-7 Sakura\, Utsunomiya-shi\, Tochigi 320-0043"
"Shomei Tomatsu 'Tomatsu Shomei Tokyo ca.1969' opens",5/26/2023,5/26/2023,true,"Admission 0 yen","1F 3-9-11 Minami Azabu\, Minato-ku\, Tokyo 106-0047"
"MUCA Exhibition Icons of Urban Art - From Banksy to Kaws opens",7/22/2023,7/22/2023,true,"Admission null yen","865 Ueno\, Oita-shi\, Oita 870-0835"
"Keicho Nakajima 40 Years After His Death  opens",5/27/2023,5/27/2023,true,"Admission Adults ¥370\, University Students ¥260\, High School Students and Under free. Special Exhibition Fees may be charged separately. yen","353-2 Takasu\, Kochi-shi\, Kochi 781-8123"
"Takeji Fujishima and Goyo Hashiguchi\, 80 Years after Their Deaths opens",5/20/2023,5/20/2023,true,"Admission Adults ¥1000\, University and High School Students ¥800\, Junior High and Elementary School Students ¥400\, Seniors 65 & Over ¥500. Special Exhibition Fees may be charged separately yen","3-42-18 Take\, Kagoshima-shi\, Kagoshima 890-0045"
"Rika Nakashima 'Keep out of ⬜︎' opens",5/27/2023,5/27/2023,true,"Admission 0 yen","B1F\, 2-2-1 Mejiro\, Toshima-ku\, Tokyo 171-0031"
"What the Eyes Revealー Portraits and Human Expression opens",5/25/2023,5/25/2023,true,"Admission Adults ¥1830; University and High School Students\, Seniors 65 & Over  ¥1320\, Junior High School Students ¥910; Elementary School Students and Under free. yen","3-15 Asumigaokahigashi\, Midori-ku\, Chiba-shi\, Chiba 267-0067"
"Sandrine Elberg 'Les Mondes Cosmiques' opens",5/19/2023,5/19/2023,true,"Admission null yen","15 Ichigayafunagawaramachi\, Shinjuku-ku\, Tokyo 162-8415"
"Seasonal Art at the Museum - Japanese Painters Depicting the four seasons opens",6/10/2023,6/10/2023,true,"Admission null yen","6-2-20 Wakasato\, Nagano-shi\, Nagano 380-0928"
"Lyrical and Narrative Paintings - The Elegant World of Yamato-e opens",6/10/2023,6/10/2023,true,"Admission Adults ¥800\, University and High School Students ¥600\, Junior High School Students and Under free. yen","24 Shishigatani Shimo Miyanomae-cho\, Sakyo-ku\, Kyoto-shi\, Kyoto 606-8431"
"Toshio Suzuki and Ghibli opens",6/9/2023,6/9/2023,true,"Admission Adults ¥200; University and High School Students ¥150; Junior High School Students and Under\, Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","3-1-1 Momochihama\, Sawara-ku\, Fukuoka-shi\, Fukuoka 814-0001"
